question,expected_category,predicted_category,generated_response,classificacao_correta_qa,nota_resolucao,categoria_final_qa,status,feedback
Qual a transportadora que vai entregar meu produto e qual o link de rastreamento?,rastreamento,rastreamento,"Para fornecer essas informações, preciso saber o número do seu pedido. 
Por favor, informe o número do pedido para que eu possa verificar os detalhes da entrega.
Com o número do pedido, posso fornecer as informações sobre a transportadora e o link de rastreamento.",True,4,rastreamento,APROVADO,"Resposta adequada, mas poderia ser mais direta."
Objeto saiu para entrega hoje? Não consigo ver pelo site.,rastreamento,rastreamento,"Para verificar o status do seu pedido, preciso saber o número do pedido. Você pode me fornecer esse número? Assim posso verificar a situação da entrega.",True,4,rastreamento,APROVADO,"Resposta útil, mas poderia ser mais direta."
"Me envia o link de rastreio por aqui, por favor.",rastreamento,rastreamento,"Para enviar o link de rastreio, preciso do número do seu pedido. Você poderia me fornecer esse número? Isso me ajudará a localizar sua encomenda.",True,5,rastreamento,APROVADO,Resposta eficaz e solicitou informações necessárias para atender ao pedido do cliente.
Estou preocupado pq o status do rastreamento tá parado no mesmo lugar faz 4 dias.,rastreamento,rastreamento,"Para verificar o status do seu pedido, preciso saber o número do pedido. Pode me informar o número do pedido, por favor? Isso ajudará a entender melhor a situação do rastreamento.",True,4,rastreamento,APROVADO,"Resposta adequada, mas poderia ser mais direta e oferecer uma solução mais rápida."
Onde está o meu pacote? O prazo termina hoje.,rastreamento,rastreamento,"Para verificar o status do seu pacote, preciso do número do pedido. 
Você pode me fornecer esse número? 
Isso ajudará a localizar o pacote e fornecer atualizações sobre o seu status.",True,5,rastreamento,APROVADO,"Resposta clara e objetiva, solicitando informações necessárias para resolver a dúvida do cliente."
Preciso do código de rastreamento para acompanhar a entrega com a transportadora.,rastreamento,rastreamento,"Para fornecer o código de rastreamento, preciso saber o número do seu pedido. 
Você poderia me informar o número do pedido, por favor? 
Isso me permitirá ajudá-lo a encontrar o código de rastreamento.",True,5,rastreamento,APROVADO,"Resposta clara e objetiva, solicitando informações necessárias para resolver a dúvida do cliente."
"Quero meu dinheiro de volta, o produto veio quebrado.",reembolso,reembolso,O valor será devolvido pelo método de pagamento original. Isso ocorrerá em até 10 dias úteis. Você receberá o reembolso conforme as informações de pagamento originais.,True,5,reembolso,APROVADO,"Resposta clara e concisa, atendendo às necessidades do cliente."
"Já devolvi o item faz uma semana, quando vou receber o estorno no meu cartão?",reembolso,reembolso,O valor será devolvido pelo método de pagamento original. Isso ocorrerá em até 10 dias úteis. Verifique seu extrato bancário nesse prazo para confirmar o crédito.,True,5,reembolso,APROVADO,"Resposta clara e concisa, atendeu à dúvida do cliente."
Solicito o reembolso do valor pago pelo pedido cancelado.,reembolso,reembolso,O valor será devolvido pelo método de pagamento original. Isso ocorrerá em até 10 dias úteis. Você receberá um e-mail confirmando a devolução assim que ela for processada.,True,5,reembolso,APROVADO,"Resposta clara e concisa, atendendo à solicitação do cliente."
O produto não era o que eu esperava e quero a devolução do dinheiro.,reembolso,reembolso,O valor será devolvido pelo método de pagamento original. Isso ocorrerá em até 10 dias úteis. Você receberá o reembolso conforme as informações de pagamento originais.,True,5,reembolso,APROVADO,"Resposta clara e eficaz, atendendo às necessidades do cliente."
"Fui cobrado duas vezes no meu cartão de crédito, preciso do estorno urgente.",reembolso,reembolso,O valor será devolvido pelo método de pagamento original. Isso ocorrerá em até 10 dias úteis. Verifique seu extrato bancário nesse período para confirmar o crédito.,True,5,reembolso,APROVADO,"Resposta clara e eficaz, atendendo às necessidades do cliente."
Como funciona o reembolso caso eu desista da compra dentro dos 7 dias?,reembolso,reembolso,O valor será devolvido pelo método de pagamento original. Isso ocorrerá em até 10 dias úteis após a solicitação. Você receberá o reembolso no mesmo método utilizado para realizar a compra.,True,5,reembolso,APROVADO,Resposta clara e completa
Paguei no pix e o pedido foi cancelado. Quando cai o reembolso na minha conta?,reembolso,reembolso,"O valor será devolvido pelo método de pagamento original em até 10 dias úteis. O reembolso será feito pelo mesmo método de pagamento que você utilizou, no caso, o Pix. Você receberá o valor de volta em sua conta em até 10 dias úteis.",True,5,reembolso,APROVADO,Resposta clara e precisa sobre o prazo de reembolso.
Quero a restituição do valor pago pelo produto que veio com defeito.,reembolso,reembolso,O valor será devolvido pelo método de pagamento original. Isso ocorrerá em até 10 dias úteis. Você receberá o crédito no mesmo cartão ou meio de pagamento utilizado na compra.,True,5,reembolso,APROVADO,"Resposta clara e objetiva, atendendo às necessidades do cliente."
Vocês já processaram o meu reembolso? Faz dias que mandei o produto de volta.,reembolso,reembolso,O valor será devolvido pelo método de pagamento original. Isso ocorrerá em até 10 dias úteis após o recebimento do produto. Verifique seu extrato bancário ou de cartão de crédito para acompanhar a devolução.,True,4,reembolso,APROVADO,"Resposta clara e objetiva, mas poderia incluir uma confirmação do recebimento do produto."
"Não quero vale-troca, prefiro o dinheiro de volta na minha conta.",reembolso,reembolso,O valor será devolvido pelo método de pagamento original. Isso ocorrerá em até 10 dias úteis. O crédito será feito na mesma conta utilizada para a compra.,True,5,reembolso,APROVADO,"Resposta clara e direta, atendendo à solicitação do cliente."
"O pedido veio faltando um item, quero o reembolso proporcional desse valor.",reembolso,reembolso,O valor do item faltante será devolvido pelo método de pagamento original. O reembolso será processado em até 10 dias úteis. Você receberá o valor proporcional ao item faltante.,True,5,reembolso,APROVADO,"Resposta clara e eficaz, atendendo à solicitação do cliente."
Propaganda enganosa. Quero devolver o produto e receber meu dinheiro integralmente.,reembolso,reembolso,O valor será devolvido pelo método de pagamento original. Isso ocorrerá em até 10 dias úteis. Você receberá o valor integralmente.,True,5,reembolso,APROVADO,"Resposta clara e concisa, atendendo às necessidades do cliente."
O estorno na fatura do cartão demora quantas parcelas para aparecer?,reembolso,reembolso,"O valor será devolvido pelo método de pagamento original em até 10 dias úteis. 
Isso significa que o estorno pode levar até 10 dias úteis para ser processado e aparecer na sua fatura. 
O prazo é contado a partir da data de solicitação do estorno.",True,5,reembolso,APROVADO,"Resposta clara e precisa, atendeu à dúvida do cliente."
Tive que pagar uma taxa extra e quero o reembolso desse valor extra que gastei.,reembolso,reembolso,O valor extra pago será devolvido pelo método de pagamento original. O reembolso será processado em até 10 dias úteis. Verifique sua conta para confirmar a devolução do valor.,True,5,reembolso,APROVADO,"Resposta clara e eficaz, atendendo às necessidades do cliente."
Quero o estorno do pagamento pois desisti de ficar com a mercadoria.,reembolso,reembolso,O valor será devolvido pelo método de pagamento original. Isso ocorrerá em até 10 dias úteis. Você receberá o crédito de volta na mesma forma como realizou o pagamento.,True,5,reembolso,APROVADO,"Resposta clara e concisa, atendendo às necessidades do cliente."
"A blusa ficou muito pequena, como faço para trocar por um tamanho maior?",troca,troca,"Para trocar a blusa, você deve solicitar a troca pelo nosso app ou site dentro de 7 dias após o recebimento do produto. Basta acessar sua conta e seguir as instruções para solicitar a troca. Você receberá as instruções adicionais após solicitar a troca.",True,5,troca,APROVADO,"Resposta clara e concisa, atendendo às necessidades do cliente."
"O produto veio com defeito de fábrica, quero trocar por um novo.",troca,troca,"Para solicitar a troca, basta acessar nosso app ou site e seguir as instruções dentro do prazo de 7 dias após o recebimento do produto. É necessário ter o número do pedido e a descrição do defeito para realizar a solicitação. A troca será processada após a análise da solicitação.",True,5,troca,APROVADO,"Resposta clara e concisa, atende às necessidades do cliente."
Recebi a cor errada do batom. Comprei vermelho e veio rosa. Quero trocar.,troca,troca,"Para realizar a troca, é necessário solicitar pelo app ou site dentro de 7 dias após o recebimento do produto. Basta acessar a seção de trocas e seguir as instruções. Verifique as opções de troca disponíveis para o seu pedido.",True,4,troca,APROVADO,"Resposta clara e direta, mas poderia incluir mais detalhes sobre o processo de troca."
Quero trocar o sapato que comprei por outro modelo do mesmo valor.,troca,troca,"Para realizar a troca, é necessário solicitar pelo app ou site dentro de 7 dias após o recebimento do produto. Basta acessar a seção de trocas e seguir as instruções. Certifique-se de que o novo modelo tenha o mesmo valor do produto original.",True,5,troca,APROVADO,"Resposta clara e concisa, atendeu às necessidades do cliente."
Como faço para solicitar a troca de um produto comprado no site?,troca,troca,"Para solicitar a troca, basta acessar o app ou site e seguir as instruções dentro do prazo de 7 dias após o recebimento do produto. É necessário estar logado na sua conta para realizar a solicitação. Verifique as opções de troca disponíveis para o seu produto.",True,5,troca,APROVADO,"Resposta clara e completa, atendeu à dúvida do cliente."
O casaco que comprei veio com um rasgo. Preciso trocar por outro sem defeito.,troca,troca,"Para solicitar a troca, basta acessar nosso app ou site e seguir as instruções dentro do prazo de 7 dias após o recebimento do produto. É necessário ter o número do pedido e a descrição do problema com o item. A troca será processada após a verificação do defeito.",True,5,troca,APROVADO,"Resposta clara e direta, atendendo às necessidades do cliente."
"Comprei uma voltagem errada sem querer, tem como trocar o produto por 220v?",troca,troca,"Sim, é possível trocar o produto. Você deve solicitar a troca pelo app ou site dentro de 7 dias após o recebimento do produto. Basta acessar sua conta e seguir as instruções para solicitar a troca.",True,5,troca,APROVADO,"Resposta clara e direta, atendeu à necessidade do cliente."
"O tênis machucou meu pé, posso efetuar a troca por outro modelo?",troca,troca,"Sim, é possível efetuar a troca. Você deve solicitar a troca pelo app ou site dentro de 7 dias após o recebimento do produto. Basta seguir as instruções no site ou app para iniciar o processo de troca.",True,5,troca,APROVADO,"Resposta clara e concisa, atendeu à necessidade do cliente."
"Gostaria de trocar o produto, mas já joguei a caixa fora. É possível?",troca,troca,"Sim, é possível solicitar a troca mesmo sem a caixa. Você deve solicitar a troca pelo app ou site dentro de 7 dias após o recebimento do produto. Basta seguir as instruções no site para iniciar o processo de troca.",True,5,troca,APROVADO,"Resposta clara e direta, atendeu à dúvida do cliente"
Qual o prazo máximo que eu tenho para pedir a troca de uma roupa?,troca,troca,Você tem 7 dias após o recebimento da roupa para solicitar a troca. Basta acessar nosso app ou site e seguir as instruções. O pedido de troca deve ser feito dentro desse prazo para ser processado.,True,5,troca,APROVADO,"Resposta clara e concisa, atendeu à dúvida do cliente de forma eficaz."
Recebi o produto hoje e não gostei do tecido. Quero trocar por outra peça.,troca,troca,"Para realizar a troca, você deve solicitar pelo app ou site dentro de 7 dias após o recebimento do produto. É necessário seguir as instruções no site para iniciar o processo de troca. Verifique as opções de troca disponíveis e siga as etapas indicadas.",True,5,troca,APROVADO,"Resposta clara e direta, fornece todas as informações necessárias para a troca."
Quero fazer a substituição do produto que veio quebrado por um funcionando perfeitamente.,troca,troca,"Para realizar a troca, é necessário solicitar pelo app ou site dentro de 7 dias após o recebimento do produto. Basta seguir as instruções no site ou app para iniciar o processo de troca. Verifique as opções de troca disponíveis e siga as etapas indicadas.",True,5,troca,APROVADO,"Resposta clara e direta, atendendo às necessidades do cliente."
Onde consigo o código de postagem para enviar o produto de volta para troca?,troca,troca,"Para solicitar a troca, você deve acessar nosso app ou site dentro de 7 dias após o recebimento do produto. 
Lá, você encontrará as instruções para iniciar o processo de troca. 
O código de postagem será fornecido após a solicitação ser aprovada.",True,5,troca,APROVADO,"Resposta clara e direta, atendeu à dúvida do cliente"
Comprei de presente mas a pessoa já tinha. Posso trocar por qualquer outra coisa da loja?,troca,troca,"Sim, é possível trocar o produto dentro de 7 dias após o recebimento. Para fazer a troca, basta solicitar pelo app ou site. O produto pode ser trocado por qualquer outro item disponível na loja.",True,5,troca,APROVADO,"Resposta clara e concisa, atendeu à necessidade do cliente."
Preciso trocar este item porque ele veio com o tamanho diferente do que estava na etiqueta.,troca,troca,"Para realizar a troca, você deve solicitar pelo app ou site dentro de 7 dias após o recebimento do item. É necessário seguir as instruções no site ou app para iniciar o processo de troca. Verifique as opções de troca disponíveis e siga as etapas indicadas.",True,5,troca,APROVADO,"Resposta clara e direta, fornece todas as informações necessárias para a troca."
